      fo_v2	      Io_v2	      Eo_v2
  5.0483870e+002  3.0681691e-029  4.6235008e+003
  5.0487216e+002  3.7955900e-026  2.6392196e+003
  5.0741394e+002  6.6233743e-033  6.2891228e+003
  5.0922180e+002  6.0225345e-029  4.3240236e+003
  5.1517131e+002  9.4924714e-036  7.5729761e+003
  5.1537759e+002  7.8357270e-026  2.4440866e+003
  5.1545200e+002  2.2314096e-028  4.0359611e+003
  5.1660601e+002  2.2918136e-033  6.6549917e+003
  5.2027565e+002  3.0031657e-026  2.8242560e+003
  5.2367260e+002  1.5598373e-027  3.7593800e+003
  5.3403884e+002  2.5667247e-027  3.4943408e+003
  5.3872405e+002  1.8619984e-034  7.0311416e+003
  5.4077504e+002  8.5798421e-026  2.4183215e+003
  5.4672533e+002  7.9355914e-027  3.2408989e+003
  5.4693474e+002  1.5320724e-025  2.5987820e+003
  5.4930537e+002  1.4189899e-026  2.2387286e+003
  5.5660821e+002  2.0853516e-036  8.0348301e+003
  5.6145808e+002  6.2370510e-026  2.2276225e+003
  5.6193230e+002  4.5959923e-026  2.9991041e+003
  5.7734633e+002  1.7688023e-025  2.3850059e+003
  5.7989025e+002  6.2069650e-026  2.7690016e+003
  5.8047702e+002  3.2484733e-025  2.2090612e+003
  5.9407357e+002  2.9483518e-035  7.4167932e+003
  6.0086413e+002  1.5537434e-025  2.5506308e+003
  6.1197637e+002  3.6056145e-025  2.1829495e+003
  6.1504557e+002  5.3799631e-026  2.0226538e+003
  6.2435952e+002  5.8395489e-028  3.9372945e+003
  6.2515928e+002  7.1446227e-025  2.3440258e+003
  6.2523910e+002  3.3042987e-028  4.2183616e+003
  6.2568703e+002  1.9488540e-027  3.6677309e+003
  6.2824416e+002  4.4175279e-029  4.5108594e+003
  6.2858666e+002  2.3630847e-025  2.0114153e+003
  6.2931261e+002  1.2270981e-026  3.4097365e+003
  6.3329136e+002  1.1157819e-029  4.8147069e+003
  6.3534181e+002  1.8191952e-026  3.1633712e+003
  6.4028220e+002  5.3196039e-030  5.1298128e+003
  6.4390166e+002  5.0661646e-026  2.9286894e+003
  6.4908691e+002  5.9700683e-031  5.4560741e+003
  6.5198810e+002  1.2424511e-024  1.9926225e+003
  6.5312735e+002  7.4366835e-025  2.1492151e+003
  6.5514262e+002  2.6434999e-025  2.7057406e+003
  6.5953624e+002  1.2562593e-031  5.7933732e+003
  6.5983190e+002  1.8263302e-036  8.0316415e+003
  6.6924307e+002  3.2157279e-025  2.4945691e+003
  6.7145374e+002  4.9212938e-032  6.1415712e+003
  6.8150304e+002  1.8428046e-025  1.8254123e+003
  6.8486038e+002  4.4450771e-033  6.5004887e+003
  6.8516803e+002  1.3679786e-024  1.9662211e+003
  6.8641292e+002  7.2540292e-025  2.2952144e+003
  6.9643449e+002  8.0924364e-025  1.8140506e+003
  7.0079092e+002  7.3295835e-034  6.8698531e+003
  7.0689810e+002  3.0066252e-024  2.1077104e+003
  7.1508743e+002  5.1746299e-037  8.2381436e+003
  7.2126342e+002  4.2362277e-024  1.7950631e+003
  7.2388359e+002  2.1927004e-034  7.2491639e+003
  7.2986361e+002  9.7113431e-036  7.8103605e+003
  7.3098445e+002  2.8234448e-024  1.9320858e+003
  7.4178809e+002  7.9155172e-023  1.0117410e+003
  7.4728680e+002  5.7131983e-025  1.6472168e+003
  7.4734922e+002  1.1638025e-025  2.8498441e+003
  7.4759728e+002  8.7192534e-026  3.0772460e+003
  7.4775672e+002  1.9750555e-036  7.9714107e+003
  7.4993635e+002  2.9186317e-025  2.6341979e+003
  7.5061648e+002  1.5377272e-026  3.3163495e+003
  7.5544762e+002  1.3714478e-024  2.4303565e+003
  7.5636413e+002  5.1153964e-027  3.5670954e+003
  7.5900120e+002  4.6911498e-024  1.7683635e+003
  7.6285249e+002  1.2722700e-022  1.0229201e+003
  7.6358333e+002  2.5088766e-024  1.6357411e+003
  7.6399618e+002  1.5030703e-024  2.2383642e+003
  7.6481581e+002  3.2149876e-027  3.8294185e+003
  7.6896031e+002  1.5093129e-035  7.6373974e+003
  7.6971023e+002  2.7949838e-022  1.0266436e+003
  7.7259416e+002  7.0644653e-024  1.0266436e+003
  7.7572659e+002  3.0554790e-024  2.0582602e+003
  7.7596124e+002  4.7739657e-028  4.1032468e+003
  7.8979743e+002  1.3408472e-028  4.3884998e+003
  7.9081755e+002  1.1422977e-023  1.8900788e+003
  7.9096041e+002  9.4011135e-037  8.1218679e+003
  7.9153087e+002  1.3184975e-023  1.6165589e+003
  8.0631549e+002  7.1216282e-029  4.6850877e+003
  8.0948135e+002  9.6867769e-024  1.7338490e+003
  8.1091873e+002  1.6064947e-024  1.4882674e+003
  8.2546967e+002  8.9346861e-030  4.9929099e+003
  8.2852541e+002  7.0547121e-024  1.4766876e+003
  8.2927007e+002  4.2323278e-038  8.7484440e+003
  8.3196877e+002  1.4553897e-023  1.5895943e+003
  8.3743396e+002  9.8283202e-037  8.2629766e+003
  8.4288423e+002  1.3124395e-035  7.8421592e+003
  8.4710622e+002  2.1138750e-030  5.3118560e+003
  8.5839420e+002  3.7015132e-023  1.4573333e+003
  8.6167200e+002  6.4206544e-024  2.1732214e+003
  8.6281000e+002  6.3398546e-024  2.0006466e+003
  8.6386127e+002  1.5169781e-024  2.3577017e+003
  8.6734260e+002  1.1619282e-023  1.8400167e+003
  8.6905175e+002  1.6057551e-037  8.6382531e+003
  8.6933932e+002  6.7186079e-025  2.5540428e+003
  8.7079495e+002  9.3924588e-031  5.6418083e+003
  8.7087777e+002  4.1131950e-024  1.3487492e+003
  8.7158927e+002  2.6858348e-037  8.3957175e+003
  8.7370314e+002  2.0159479e-036  8.0324319e+003
  8.7536819e+002  3.9217445e-023  1.6913666e+003
  8.7809500e+002  5.5908688e-025  2.7621956e+003
  8.8350611e+002  1.4800599e-037  8.5207110e+003
  8.8701820e+002  3.0073176e-023  1.5547257e+003
  8.8971081e+002  1.8062560e-023  1.3370761e+003
  8.9014257e+002  1.0954165e-025  2.9821059e+003
  8.9546340e+002  9.7337300e-032  5.9826452e+003
  9.0245867e+002  4.0961825e-023  1.4301186e+003
  9.0301176e+002  5.9865870e-036  7.9837740e+003
  9.0552019e+002  4.0483616e-026  3.2137145e+003
  9.1177795e+002  6.3078201e-035  7.4513754e+003
  9.1869305e+002  1.8598559e-032  6.3342412e+003
  9.2194052e+002  9.4968438e-023  1.3175637e+003
  9.2428809e+002  2.8253958e-026  3.4569563e+003
  9.2565786e+002  9.6444907e-024  1.2288306e+003
  9.3560023e+002  6.4310117e-033  6.6964471e+003
  9.3756541e+002  4.8941728e-034  7.0690129e+003
  9.4560460e+002  4.2352524e-023  1.2170754e+003
  9.4652634e+002  4.6599290e-027  3.7117596e+003
  9.5882787e+002  1.2183703e-022  1.5117996e+003
  9.5956618e+002  3.9937355e-023  1.6407254e+003
  9.6188452e+002  8.4679697e-023  1.3949250e+003
  9.6405967e+002  2.4136778e-023  1.7816717e+003
  9.6880919e+002  1.0494924e-022  1.2901269e+003
  9.7230079e+002  2.7119351e-023  1.9346031e+003
  9.7233156e+002  1.4540499e-027  3.9780442e+003
  9.7382675e+002  2.0920849e-023  1.1286604e+003
  9.7964952e+002  2.2252525e-022  1.1974256e+003
  9.8431305e+002  7.1134338e-024  2.0994791e+003
  9.9474762e+002  9.1892337e-023  1.1168355e+003
  1.0001500e+003  3.4992849e-024  2.2762543e+003
  1.0018101e+003  8.5857709e-028  4.2557204e+003
  1.0140848e+003  4.2793647e-023  1.0483661e+003
  1.0198942e+003  3.2357823e-024  2.4648790e+003
  1.0293749e+003  2.4630844e-022  1.1697922e+003
  1.0305299e+003  4.8336956e-022  1.0970681e+003
  1.0323215e+003  2.1705975e-022  1.2546405e+003
  1.0350648e+003  1.1997183e-028  4.5446882e+003
  1.0358161e+003  1.8800928e-022  1.0364844e+003
  1.0393600e+003  3.4330434e-022  1.3515913e+003
  1.0431023e+003  6.4221330e-026  1.4573333e+003
  1.0432184e+003  8.5917038e-037  8.2087593e+003
  1.0436565e+003  7.0433504e-025  2.6652982e+003
  1.0447598e+003  3.5089671e-035  7.6379395e+003
  1.0453192e+003  8.6095271e-023  9.8805200e+002
