      fo_rot	      Io_rot	      Eo_rot	    gNH3_rot	      gH2_rot	     gHe_rot
  3.8859408e+003  1.6431579e-023  2.8282330e+002  1.0323892e+001  1.7776684e+000  8.4358906e-001
  3.8879219e+003  1.7269481e-023  2.8214380e+002  1.0323892e+001  1.7776684e+000  8.4358906e-001
  3.9665698e+003  2.1344171e-023  1.6453770e+002  1.0323892e+001  1.7776684e+000  8.4358906e-001
  3.9907481e+003  3.0554790e-024  1.9285289e+003  1.0323892e+001  1.7776684e+000  8.4358906e-001
  4.0803337e+003  1.2533700e-024  1.8305797e+003  1.0323892e+001  1.7776684e+000  8.4358906e-001
  4.0900821e+003  7.1265494e-024  1.4750398e+003  1.0323892e+001  1.7776684e+000  8.4358906e-001
  4.0914682e+003  7.1314739e-024  1.4753832e+003  1.0323892e+001  1.7776684e+000  8.4358906e-001
  4.1223061e+003  3.9181341e-019  4.1609440e+002  1.0163200e+001  1.6489000e+000  7.9450000e-001
  4.1227703e+003  1.9524472e-019  4.1244440e+002  1.0852800e+001  1.7838000e+000  8.0740000e-001
  4.1241595e+003  1.9274330e-019  4.0148440e+002  1.1872100e+001  1.8378000e+000  8.2030000e-001
  4.1264770e+003  3.7366231e-019  3.8318410e+002  1.3970700e+001  1.9517000e+000  8.3310000e-001
  4.1296591e+003  1.7397198e-019  3.5749120e+002  1.5649600e+001  2.1076000e+000  8.4600000e-001
  4.1337146e+003  1.4793785e-019  3.2433390e+002  1.7508300e+001  2.2635000e+000  8.5890000e-001
  4.1385758e+003  1.9421345e-019  2.8361690e+002  1.9427000e+001  2.3205000e+000  8.7180000e-001
  4.1453329e+003  2.6691888e-023  1.2664954e+003  1.0323892e+001  1.7776684e+000  8.4358906e-001
  4.1579985e+003  1.9869150e-019  4.1183100e+002  1.0523000e+001  1.6639000e+000  8.0740000e-001
  4.1603396e+003  1.9623628e-019  4.0085450e+002  1.2052000e+001  1.8318000e+000  8.2030000e-001
  4.1642512e+003  3.8060921e-019  3.8252510e+002  1.3940700e+001  1.9817000e+000  8.3310000e-001
  4.1698703e+003  1.7745135e-019  3.5679090e+002  1.5529600e+001  2.0986000e+000  8.4600000e-001
  4.1772502e+003  1.5117476e-019  3.2357560e+002  1.7418400e+001  2.2455000e+000  8.5890000e-001
  4.1865558e+003  1.9882880e-019  2.8278110e+002  1.9307100e+001  2.2995000e+000  8.7180000e-001
  4.2011255e+003  1.0133963e-023  1.0695844e+003  1.0323892e+001  1.7776684e+000  8.4358906e-001
