	fo		Io 		Eo	     gammaNH3o 	     H2HeBroad
  1.3997599e+001  9.1112780e-031  3.2808971e+003  4.2100000e+000  2.9464611e-002
  1.4224647e+001  1.5366653e-025  1.1699677e+003  1.3700000e+001  7.1517343e-001
  1.4255450e+001  1.3445572e-035  6.3577469e+003  8.9000000e+000  1.4953516e-001
  1.4376817e+001  2.1571448e-025  8.5538540e+002  8.9000000e+000  1.4953516e-001
  1.4660443e+001  1.1209321e-036  6.7531703e+003  1.4051737e+001  2.1054946e+000
  1.4822527e+001  1.4773361e-025  9.9397980e+002  1.2700000e+001  5.2088439e-001
  1.5115540e+001  1.7839361e-037  7.1593032e+003  1.8900000e+001  2.6129411e+000
  1.5192782e+001  4.3539085e-027  2.1494866e+003  1.8900000e+001  2.6129411e+000
  1.5195390e+001  5.8800267e-027  1.9201748e+003  1.8900000e+001  2.6129411e+000
  1.5233229e+001  3.0582945e-026  7.0744510e+002  4.4000000e+000  1.4748949e-002
  1.5258388e+001  7.5976502e-028  2.3907261e+003  1.9260000e+001  2.8604003e+000
  1.5267808e+001  1.4930670e-026  1.7028456e+003  1.9260000e+001  2.8604003e+000
  1.5391406e+001  2.5025300e-028  2.6438340e+003  1.9620000e+001  3.0982376e+000
  1.5412486e+001  7.1117961e-026  1.4975498e+003  1.7300000e+001  1.8201318e+000
  1.5523900e+001  2.5152392e-025  8.3014690e+002  1.1600000e+001  3.4834024e-001
  1.5591871e+001  1.5587602e-028  2.9087459e+003  1.9950000e+001  3.3262845e+000
  1.5632806e+001  7.9064094e-026  1.3043345e+003  1.6700000e+001  1.5445562e+000
  1.5639761e+001  1.3563735e-025  6.9660200e+002  1.6700000e+001  1.5445562e+000
  1.5675189e+001  5.4435134e-038  7.5761481e+003  1.4051737e+001  2.1054946e+000
  1.5860425e+001  2.2970968e-029  3.1853914e+003  1.6000000e+001  1.2685025e+000
  1.5933213e+001  1.6325981e-025  1.1232426e+003  1.6000000e+001  1.2685025e+000
  1.6198324e+001  6.4147435e-030  3.4736928e+003  1.5200000e+001  9.9726082e-001
  1.6319324e+001  6.2069650e-025  9.5431320e+002  1.5200000e+001  9.9726082e-001
  1.6455099e+001  7.3532494e-025  6.7849450e+002  1.0500000e+001  2.0452986e-001
  1.6456102e+001  4.0167916e-039  8.0036861e+003  1.0500000e+001  2.0452986e-001
  1.6607249e+001  3.3976551e-030  3.7735634e+003  1.4051737e+001  2.1054946e+000
  1.6798134e+001  5.3577112e-025  7.9758120e+002  1.4300000e+001  7.3815702e-001
  1.6840972e+001  8.9904058e-026  5.4996530e+002  5.8000000e+000  1.9284080e-002
  1.7089068e+001  4.2695224e-031  4.0849067e+003  1.4051737e+001  2.1054946e+000
  1.7291493e+001  3.9891402e-025  5.3905160e+002  9.2000000e+000  9.5806472e-002
  1.7378110e+001  8.2069029e-025  6.5307730e+002  1.3400000e+001  5.0085687e-001
  1.7645488e+001  1.0190120e-031  4.4076154e+003  1.4051737e+001  2.1054946e+000
  1.8017337e+001  2.1221657e-024  5.2082860e+002  1.2500000e+001  2.9717946e-001
  1.8127106e+001  3.5849186e-025  1.2429744e+003  1.8800000e+001  2.5043591e+000
  1.8162353e+001  3.5700911e-025  1.0689786e+003  1.8200000e+001  2.1683433e+000
  1.8177808e+001  8.4096766e-026  1.4291181e+003  1.8200000e+001  2.1683433e+000
  1.8277665e+001  4.6246545e-032  4.7415740e+003  1.7600000e+001  1.8205868e+000
  1.8285434e+001  6.6081409e-025  9.0717200e+002  1.7600000e+001  1.8205868e+000
  1.8313665e+001  3.7015132e-026  1.6273641e+003  1.9700000e+001  3.1316214e+000
  1.8391562e+001  2.3948554e-025  4.1183100e+002  7.2000000e+000  2.6359993e-002
  1.8499390e+001  2.2551701e-024  7.5759210e+002  1.7000000e+001  1.4660723e+000
  1.8534911e+001  3.0646388e-026  1.8376633e+003  2.0100000e+001  3.4211929e+000
  1.8808507e+001  1.7505693e-024  6.2027230e+002  1.6400000e+001  1.1131164e+000
  1.8842786e+001  5.9810757e-027  2.0599623e+003  2.0500000e+001  3.6947924e+000
  1.8884695e+001  1.0631127e-024  4.0085450e+002  1.1000000e+001  1.3969043e-001
  1.8985838e+001  4.9886071e-033  5.0866622e+003  1.4051737e+001  2.1054946e+000
  1.9218465e+001  2.4181281e-024  4.9524180e+002  1.5800000e+001  7.7476290e-001
  1.9239537e+001  2.2043436e-027  2.2942035e+003  2.0750000e+001  3.9529535e+000
  1.9728310e+001  1.5359578e-027  2.5403240e+003  2.1030000e+001  4.1964011e+000
  1.9757538e+001  5.7039971e-024  3.8252510e+002  1.4800000e+001  4.7007899e-001
  1.9769250e+001  1.0244229e-033  5.4427641e+003  1.4800000e+001  4.7007899e-001
  1.9838346e+001  5.8140572e-025  2.9317490e+002  8.9000000e+000  3.8374271e-002
  2.0313474e+001  2.5326740e-028  2.7982551e+003  2.1280000e+001  4.4259554e+000
  2.0371450e+001  2.5815426e-024  2.8214380e+002  1.3400000e+001  2.2389407e-001
  2.0626771e+001  4.0038638e-034  5.8097798e+003  1.9300000e+001  2.3051885e+000
  2.0719221e+001  7.3820893e-024  5.7998650e+002  1.9300000e+001  2.3051885e+000
  2.0735452e+001  2.4070178e-024  7.1006330e+002  1.9300000e+001  2.3051885e+000
  2.0804830e+001  5.1651067e-024  4.6221980e+002  1.9000000e+001  1.8216734e+000
  2.0852527e+001  1.4490364e-024  8.5241830e+002  2.0100000e+001  3.1912964e+000
  2.0994617e+001  6.4547481e-024  3.5679090e+002  1.8500000e+001  1.3254593e+000
  2.1000162e+001  7.9118728e-029  3.0679207e+003  1.8500000e+001  1.3254593e+000
  2.1070739e+001  1.6239748e-024  1.0070157e+003  2.0400000e+001  3.5875817e+000
  2.1134311e+001  1.2989107e-024  1.9411290e+002  1.0700000e+001  6.1501493e-002
  2.1196489e+001  5.3416976e-032  4.0139505e+003  1.7700000e+001  8.4204333e-001
  2.1285275e+001  1.3819085e-023  2.6372330e+002  1.7700000e+001  8.4204333e-001
  2.1391625e+001  4.2557813e-025  1.1738155e+003  2.0800000e+001  3.9531974e+000
  2.1558983e+001  3.7245971e-035  6.1876397e+003  1.6100000e+001  4.1689556e-001
  2.1703358e+001  5.7687178e-024  1.8303570e+002  1.6100000e+001  4.1689556e-001
  2.1794573e+001  4.6868310e-029  3.3492356e+003  2.1200000e+001  4.2900115e+000
  2.1817984e+001  2.0940126e-025  1.3527740e+003  2.1200000e+001  4.2900115e+000
  2.2234506e+001  2.7213180e-024  1.1474320e+002  1.1700000e+001  1.1610441e-001
  2.2353912e+001  1.9394532e-025  1.5438432e+003  2.1500000e+001  4.6002816e+000
  2.2572833e+001  6.6005374e-036  6.5763138e+003  2.1700000e+001  2.6162720e+000
  2.2653022e+001  1.5695650e-023  2.3785930e+002  2.1700000e+001  2.6162720e+000
  2.2688312e+001  3.0929956e-023  1.6453770e+002  2.1000000e+001  1.8253884e+000
  2.2703750e+001  6.5853566e-030  3.6421048e+003  2.1000000e+001  1.8253884e+000
