Frequency (Hz),N,M,L,Absorption (dB/km),2_ Absorption ,Refraction,2_ Refraction,Pressure (bars),2_ Pressure ,Temperature K,2_ Temperature ,2_ Dielectric,2_ Transmissivity,2_ Instrumentation _wave ,Argon Refrac,2_ Refraction Ar,T Argon K,P Argon (bars) ,Ideal H2O conc,Ideal He conc,Ideal H2 conc,H2O Hygrometer Partial Pressure (mbars),2_ Hygrometer ,H2 density (g/m**3),He density (g/m**3),H2O density (g/m**3),X H2O ,X He mole fraction,X H2 mole fraction,Quality Flag
1505922915,0,1,1,0.017753857,0.019360213,1696.707939,0.664853452,8.2264,0.00739465,376.15,0.901,2.4972E-06,0.019257212,0.000159962,1693.162669,0.664861584,376.35,8.5585,0.039166586,0.129712511,0.831120903,NaN,0,438.8167428,135.976995,186.4261365,0.03949752,0.129667835,0.830834645,0
1810496331,0,1,2,0.008228497,0.071142115,1698.136684,0.664855772,8.2264,0.00739465,376.15,0.901,9.38455E-07,0.071121624,0.000462297,1695.375791,0.664851691,376.3,8.558,0.039166586,0.129712511,0.831120903,NaN,0,438.8167428,135.976995,186.4261365,0.03949752,0.129667835,0.830834645,0
2227371307,0,1,3,0.032712144,0.092841962,1698.788466,0.664877339,8.2264,0.00739465,376.15,0.901,1.93742E-06,0.092835415,0.000840721,1696.121797,0.664903973,376.3,8.559,0.039166586,0.129712511,0.831120903,NaN,0,438.8167428,135.976995,186.4261365,0.03949752,0.129667835,0.830834645,0
2796597079,0,2,2,0.063855677,0.057948984,1696.863087,0.664855412,8.2264,0.00739465,376.15,0.901,4.87871E-07,0.057788949,0.000329102,1694.950339,0.664855606,376.25,8.5585,0.039166586,0.129712511,0.831120903,NaN,0,438.8167428,135.976995,186.4261365,0.03949752,0.129667835,0.830834645,0
3082911947,0,2,3,0.134768611,0.170686265,1697.533287,0.664867412,8.2264,0.00739465,376.15,0.901,8.23803E-06,0.170615847,0.000289648,1694.743564,0.664884236,376.3,8.5585,0.039166586,0.129712511,0.831120903,NaN,0,438.8167428,135.976995,186.4261365,0.03949752,0.129667835,0.830834645,0
3443977720,0,2,4,0.170524368,0.212792187,1696.58444,0.664911826,8.2264,0.00739465,376.15,0.901,1.31686E-05,0.212724968,0.000593423,1693.889288,0.664897035,376.3,8.5595,0.039166586,0.129712511,0.831120903,NaN,0,438.8167428,135.976995,186.4261365,0.03949752,0.129667835,0.830834645,0
4312103211,0,2,6,0.401397039,0.401559965,1695.76814,0.664978492,8.2264,0.00739465,376.15,0.901,3.31185E-06,0.4012852,0.001840337,1692.385248,0.66500935,376.35,8.561,0.039166586,0.129712511,0.831120903,NaN,0,438.8167428,135.976995,186.4261365,0.03949752,0.129667835,0.830834645,0
5072954466,0,3,6,0.281023313,0.156139747,1694.85156,0.665138582,8.2264,0.00739465,376.15,0.901,2.03083E-07,0.156119946,0.001975432,1692.219397,0.66501592,376.3,8.5575,0.039166586,0.129712511,0.831120903,NaN,0,438.8167428,135.976995,186.4261365,0.03949752,0.129667835,0.830834645,0
5293456199,0,2,8,0.706607303,0.484742674,1696.774629,0.665406064,8.2264,0.00739465,376.15,0.901,1.1083E-05,0.482311827,0.002381148,1691.616739,0.665678803,376.45,8.558,0.039166586,0.129712511,0.831120903,NaN,0,438.8167428,135.976995,186.4261365,0.03949752,0.129667835,0.830834645,0
5929708945,0,3,8,0.483769741,0.306515961,1695.589827,0.66512507,8.2264,0.00739465,376.15,0.901,2.27381E-05,0.288717091,0.001785386,1692.219653,0.665226518,376.35,8.5575,0.039166586,0.129712511,0.831120903,NaN,0,438.8167428,135.976995,186.4261365,0.03949752,0.129667835,0.830834645,0
1505423366,0,1,1,0.019667292,0.020557934,2028.121425,0.665572695,11.92174864,0.041367899,376.2,0.901016667,2.40288E-06,0.020549845,0.00017415,2028.215476,0.665575998,376.15,10.2418,0.027026237,0.131351458,0.841622305,NaN,0,642.1227703,198.975828,186.4261365,0.027333816,0.131309935,0.841356249,0
2226632324,0,1,3,0.040727993,0.098275234,2031.379735,0.665638953,11.92174864,0.041367899,376.2,0.901016667,1.76957E-06,0.098209854,0.000840681,2031.469019,0.665621959,376.15,10.2408,0.027026237,0.131351458,0.841622305,NaN,0,642.1227703,198.975828,186.4261365,0.027333816,0.131309935,0.841356249,0
2795669276,0,2,2,0.066336929,0.058494549,2028.35592,0.665593186,11.92174864,0.041367899,376.2,0.901016667,9.51864E-08,0.058338631,0.000257401,2028.416708,0.665581899,376.15,10.2408,0.027026237,0.131351458,0.841622305,NaN,0,642.1227703,198.975828,186.4261365,0.027333816,0.131309935,0.841356249,0
3081889224,0,2,3,0.137105513,0.167783209,2029.373478,0.665596424,11.92174864,0.041367899,376.2,0.901016667,2.51052E-06,0.167779386,0.000402393,2029.388272,0.665586391,376.15,10.2403,0.027026237,0.131351458,0.841622305,NaN,0,642.1227703,198.975828,186.4261365,0.027333816,0.131309935,0.841356249,0
3442835176,0,2,4,0.19187635,0.227491115,2027.907987,0.665587986,11.92174864,0.041367899,376.2,0.901016667,7.05959E-06,0.227380434,0.00061038,2028.799615,0.66562787,376.15,10.2403,0.027026237,0.131351458,0.841622305,NaN,0,642.1227703,198.975828,186.4261365,0.027333816,0.131309935,0.841356249,0
4310671558,0,2,6,0.379671766,0.40793563,2026.961303,0.665744883,11.92174864,0.041367899,376.2,0.901016667,2.19399E-05,0.407107711,0.001288897,2085.121235,0.665757881,372.85,10.2428,0.027026237,0.131351458,0.841622305,NaN,0,642.1227703,198.975828,186.4261365,0.027333816,0.131309935,0.841356249,0
5071271268,0,3,6,0.312652469,0.160167658,2025.362051,0.665924624,11.92174864,0.041367899,376.2,0.901016667,3.64263E-07,0.158248045,0.001880062,2027.957,0.665911635,376.1,10.2383,0.027026237,0.131351458,0.841622305,NaN,0,642.1227703,198.975828,186.4261365,0.027333816,0.131309935,0.841356249,0
5291699709,0,2,8,0.630503821,0.469696198,2028.121149,0.666299621,11.92174864,0.041367899,376.2,0.901016667,4.79097E-06,0.469592364,0.002365614,2028.921394,0.666398255,376.2,10.2418,0.027026237,0.131351458,0.841622305,NaN,0,642.1227703,198.975828,186.4261365,0.027333816,0.131309935,0.841356249,0
5927741908,0,3,8,0.495231105,0.318099615,2026.473383,0.665976618,11.92174864,0.041367899,376.2,0.901016667,1.0945E-05,0.276615549,0.001789706,2028.149527,0.665871407,376.15,10.2383,0.027026237,0.131351458,0.841622305,NaN,0,642.1227703,198.975828,186.4261365,0.027333816,0.131309935,0.841356249,0
1504251524,0,1,1,0.018963646,0.023124923,2804.444534,0.666288285,20.9226996,0.041367899,376.2208333,0.901023611,4.37404E-07,0.023098986,0.000179963,2805.372746,0.666274422,376.2,14.1595,0.015399542,0.132921062,0.851679396,NaN,0,1132.696604,350.9908933,186.4261365,0.015681108,0.13288305,0.851435842,0
2224898843,0,1,3,0.058239408,0.095926883,2810.721305,0.666341977,20.9226996,0.041367899,376.2208333,0.901023611,1.17987E-07,0.095921731,0.000927047,2812.500337,0.666319536,376.15,14.1595,0.015399542,0.132921062,0.851679396,NaN,0,1132.696604,350.9908933,186.4261365,0.015681108,0.13288305,0.851435842,0
2793493042,0,2,2,0.067431968,0.059846935,2804.836151,0.666280453,20.9226996,0.041367899,376.2208333,0.901023611,9.16888E-07,0.059838189,0.000312541,2806.764742,0.666279553,376.15,14.1595,0.015399542,0.132921062,0.851679396,NaN,0,1132.696604,350.9908933,186.4261365,0.015681108,0.13288305,0.851435842,0
3079490151,0,2,3,0.140079564,0.184294989,2806.797533,0.666304788,20.9226996,0.041367899,376.2208333,0.901023611,3.22693E-06,0.184291662,0.000379789,2808.615823,0.666295793,376.15,14.1575,0.015399542,0.132921062,0.851679396,NaN,0,1132.696604,350.9908933,186.4261365,0.015681108,0.13288305,0.851435842,0
